GMT Standard Time,Mark,Sail,Twd°M,Tws,Twg,Twa,Targ,Bsp,Set°M,Drift,Brg°M,Dist nm,Awa,Aws,Mode,MSLP,Rain,AirT,SST,MeanWaveDir,SigWave H,WaveDir,Wave H,SwellDir,Swell H,Cloud,CAPE,LFTX,Latitude,Longitude
27-Mar-21 11:26,Mark23,,256,16.3,,(15),038,7.1,253,2.1,243,4.76,27,22.3,Sail,,,,,,,,,,,,,,50 46.564n,001 18.910w
27-Mar-21 12:00,,,251,16.4,,(11),038,7.1,251,2.0,244,5.09,27,22.5,Sail,,,,,,,,,,,,,,50 44.394n,001 25.591w
27-Mar-21 12:40,Mark24,,245,16.6,,(4),038,7.1,220,2.1,240,2.69,27,22.6,Sail,,,,,,,,,,,,,,50 42.171n,001 32.813w
27-Mar-21 13:00,,,248,17.2,,(20),038,7.1,254,2.3,233,8.35,27,23.2,Sail,,,,,,,,,,,,,,50 40.829n,001 36.491w
27-Mar-21 14:00,,,240,17.1,,(-4),038,7.1,252,1.7,245,7.97,-27,23.2,Sail,,,,,,,,,,,,,,50 35.804n,001 46.972w
27-Mar-21 15:00,,,235,17.6,,(-9),038,7.1,253,1.4,245,7.13,-27,23.6,Sail,,,,,,,,,,,,,,50 32.462n,001 58.342w
27-Mar-21 16:00,,,234,17.3,,(-30),038,7.1,316,0.2,266,6.37,-27,23.3,Sail,,,,,,,,,,,,,,50 29.442n,002 8.485w
27-Mar-21 17:00,,,229,16.8,,-40,038,7.2,067,1.3,272,5.75,-28,22.9,Sail,,,,,,,,,,,,,,50 28.998n,002 18.455w
27-Mar-21 18:02,Mark25,,222,17.0,,-53,038,8.0,100,3.1,270,5.19,-36,22.8,Sail,,,,,,,,,,,,,,50 29.169n,002 27.464w
27-Mar-21 19:00,,,225,18.6,,-43,038,7.5,105,2.0,264,5.91,-31,24.6,Sail,,,,,,,,,,,,,,50 29.123n,002 35.602w
27-Mar-21 20:00,,,227,19.8,,(-25),038,7.2,101,1.3,247,5.85,-28,25.8,Sail,,,,,,,,,,,,,,50 28.435n,002 44.809w
27-Mar-21 21:00,,,228,21.7,,(-14),038,7.2,103,0.7,239,6.33,-29,27.8,Sail,,,,,,,,,,,,,,50 26.055n,002 53.182w
27-Mar-21 22:00,,,228,22.8,,(-13),039,7.2,182,0.2,240,6.95,-30,28.8,Sail,,,,,,,,,,,,,,50 22.768n,003 1.652w
27-Mar-21 23:00,,,228,23.9,,(-22),039,7.2,236,0.8,247,7.64,-30,29.9,Sail,,,,,,,,,,,,,,50 19.258n,003 11.039w
28-Mar-21 00:00,,,226,23.9,,(-22),039,7.2,236,1.2,245,8.06,-30,29.9,Sail,,,,,,,,,,,,,,50 16.243n,003 22.004w
28-Mar-21 01:00,,,227,25.2,,(-19),039,7.3,226,1.8,244,7.85,-31,31.2,Sail,,,,,,,,,,,,,,50 12.778n,003 33.358w
28-Mar-21 02:00,,,229,25.0,,(-36),039,7.3,259,0.9,264,7.44,-31,30.9,Sail,,,,,,,,,,,,,,50 9.296n,003 44.315w
28-Mar-21 03:00,,,227,23.4,,-44,039,7.6,091,0.4,272,7.00,-34,29.4,Sail,,,,,,,,,,,,,,50 8.439n,003 55.834w
28-Mar-21 04:00,,,228,22.5,,(-28),039,7.2,091,0.8,254,5.93,-30,28.5,Sail,,,,,,,,,,,,,,50 8.530n,004 6.741w
28-Mar-21 05:00,,,227,22.1,,(-29),039,7.2,087,1.0,255,5.89,-29,28.2,Sail,,,,,,,,,,,,,,50 6.805n,004 15.574w
28-Mar-21 06:00,,,229,22.0,,(-28),039,7.2,086,0.8,255,6.24,-29,28.1,Sail,,,,,,,,,,,,,,50 5.147n,004 24.368w
28-Mar-21 07:00,,,228,22.1,,(-18),039,7.2,088,0.4,245,6.58,-29,28.1,Sail,,,,,,,,,,,,,,50 3.457n,004 33.712w
28-Mar-21 08:00,,,227,22.7,,(-31),039,7.2,226,0.3,256,7.56,-30,28.7,Sail,,,,,,,,,,,,,,50 0.533n,004 42.861w
28-Mar-21 09:00,,,225,22.4,,(-33),039,7.2,235,0.9,255,8.40,-29,28.4,Sail,,,,,,,,,,,,,,49 58.542n,004 54.180w
28-Mar-21 10:00,,,223,23.1,,-40,039,7.3,238,1.9,263,9.20,-31,29.1,Sail,,,,,,,,,,,,,,49 56.146n,005 6.675w
28-Mar-21 11:00,,,222,22.2,,-52,039,8.1,292,2.0,275,9.86,-38,28.0,Sail,,,,,,,,,,,,,,49 54.814n,005 20.795w
28-Mar-21 12:00,,,216,22.5,,-49,039,8.0,271,1.3,267,8.75,-37,28.4,Sail,,,,,,,,,,,,,,49 55.399n,005 36.050w
28-Mar-21 13:00,,,213,22.6,,-48,039,7.9,334,0.2,263,6.40,-36,28.5,Sail,,,,,,,,,,,,,,49 54.637n,005 49.556w
28-Mar-21 13:48,Mark26,,213,22.6,,-86,039,9.6,355,0.2,300,1.89,-64,25.2,Sail,,,,,,,,,,,,,,49 53.650n,005 59.349w
28-Mar-21 14:00,,,213,22.7,,-90,165,9.8,355,0.2,304,9.92,-67,24.7,Sail,,,,,,,,,,,,,,49 54.549n,006 1.922w
28-Mar-21 15:00,,,213,23.2,,-99,165,10.2,015,0.2,312,10.07,-74,23.8,Sail,,,,,,,,,,,,,,49 59.913n,006 14.868w
28-Mar-21 16:00,,,211,24.0,,-101,163,10.4,165,0.6,310,9.99,-76,24.2,Sail,,,,,,,,,,,,,,50 6.407n,006 26.818w
28-Mar-21 17:00,,,212,23.6,,-98,164,10.2,188,0.2,309,10.08,-74,24.4,Sail,,,,,,,,,,,,,,50 12.631n,006 38.986w
28-Mar-21 18:00,,,211,24.0,,-98,163,10.3,172,0.4,307,9.64,-74,24.7,Sail,,,,,,,,,,,,,,50 18.708n,006 51.536w
28-Mar-21 19:00,,,208,24.4,,-105,162,10.5,152,1.3,312,9.94,-80,23.9,Sail,,,,,,,,,,,,,,50 24.211n,007 3.912w
28-Mar-21 20:00,,,208,25.1,,-97,161,10.3,180,0.5,303,10.09,-74,25.9,Sail,,,,,,,,,,,,,,50 30.560n,007 15.894w
28-Mar-21 21:00,,,208,24.9,,-102,161,10.5,180,0.4,308,10.22,-77,25.0,Sail,,,,,,,,,,,,,,50 35.774n,007 29.453w
28-Mar-21 22:00,,,208,24.6,,-99,162,10.4,177,0.4,305,10.01,-75,25.2,Sail,,,,,,,,,,,,,,50 41.673n,007 42.582w
28-Mar-21 23:00,,,209,24.5,,-100,162,10.4,167,0.6,307,10.10,-76,24.8,Sail,,,,,,,,,,,,,,50 47.071n,007 55.866w
29-Mar-21 00:00,,,211,24.1,,-87,039,9.8,208,0.4,296,9.76,-66,26.4,Sail,,,,,,,,,,,,,,50 52.842n,008 8.948w
29-Mar-21 01:00,,,215,23.8,,-85,039,9.6,235,0.3,299,9.70,-64,26.5,Sail,,,,,,,,,,,,,,50 56.722n,008 23.114w
29-Mar-21 02:00,,,216,23.2,,-90,039,9.8,288,0.1,305,9.73,-67,25.3,Sail,,,,,,,,,,,,,,51 0.969n,008 36.939w
29-Mar-21 03:00,,,219,23.2,,-87,039,9.7,168,0.1,305,9.56,-65,25.6,Sail,,,,,,,,,,,,,,51 6.184n,008 49.985w
29-Mar-21 04:00,,,218,21.8,,-88,038,9.6,168,0.1,304,9.36,-64,24.2,Sail,,,,,,,,,,,,,,51 11.268n,009 2.862w
29-Mar-21 05:00,,,214,21.6,,-93,167,9.8,154,0.7,304,9.37,-68,23.2,Sail,,,,,,,,,,,,,,51 16.144n,009 15.588w
29-Mar-21 06:00,,,213,21.1,,-94,168,9.8,193,1.0,301,6.57,-68,22.7,Sail,,,,,,,,,,,,,,51 20.987n,009 28.382w
29-Mar-21 06:41,Mark27,,213,21.1,,97,,,196,1.5,,,,,Sail,,,,,,,,,,,,,,51 24.060n,009 37.661w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,11:26:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route distance,353.04nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimal distance,379.82nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimal route time,1d 19h 15m 17s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motoring time,00s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motoring fuel,0 litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created,27/03/2021 11:27:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sail chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polar,Beneteau First 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PolarP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PolarS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polar % day,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polar % night,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,PWE, PWG, WRF-ARW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current,BSH/GMN/Tidetech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind %,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current %,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,Isochronal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waves enabled,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor enabled,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
