GMT Daylight Time,Mark,Sail,Twd°M,Tws,Twg,Twa,Targ,Bsp,Set°M,Drift,Brg°M,Dist nm,Awa,Aws,Mode,MSLP,Rain,AirT,SST,MeanWaveDir,SigWave H,WaveDir,Wave H,SwellDir,Swell H,Cloud,CAPE,LFTX,Latitude,Longitude
28-Mar-21 12:36,Mark24,,225,21.0,,(-20),038,7.2,220,2.1,244,3.21,-29,27.1,Sail,,,,,,,,,,,,,,50 42.171n,001 32.813w
28-Mar-21 13:00,,,229,20.3,,(-0),038,7.2,269,1.8,235,8.19,-28,26.3,Sail,,,,,,,,,,,,,,50 40.780n,001 37.362w
28-Mar-21 14:00,,,226,21.4,,(-18),038,7.2,248,2.1,247,9.17,-29,27.4,Sail,,,,,,,,,,,,,,50 36.060n,001 47.879w
28-Mar-21 15:00,,,227,22.1,,(-26),039,7.2,258,3.2,254,9.31,-29,28.1,Sail,,,,,,,,,,,,,,50 32.414n,002 1.105w
28-Mar-21 16:00,,,224,21.2,,-45,038,7.6,259,1.8,266,7.89,-33,27.2,Sail,,,,,,,,,,,,,,50 29.774n,002 15.123w
28-Mar-21 16:52,Mark25,,220,20.1,,(-28),038,7.2,207,0.7,245,0.87,-28,26.1,Sail,,,,,,,,,,,,,,50 29.169n,002 27.464w
28-Mar-21 17:00,,,220,20.1,,(-35),038,7.2,220,0.8,255,7.18,-28,26.2,Sail,,,,,,,,,,,,,,50 28.792n,002 28.703w
28-Mar-21 18:00,,,220,18.2,,-43,038,7.5,050,0.5,264,6.71,-31,24.2,Sail,,,,,,,,,,,,,,50 26.856n,002 39.539w
28-Mar-21 19:00,,,220,19.2,,-41,038,7.4,074,1.1,262,6.21,-30,25.2,Sail,,,,,,,,,,,,,,50 26.124n,002 49.999w
28-Mar-21 20:00,,,220,18.3,,(-33),038,7.2,071,1.2,254,5.78,-28,24.4,Sail,,,,,,,,,,,,,,50 25.233n,002 59.626w
28-Mar-21 21:00,,,221,17.7,,(-25),038,7.2,067,1.1,246,5.86,-27,23.8,Sail,,,,,,,,,,,,,,50 23.624n,003 8.326w
28-Mar-21 22:00,,,220,16.3,,(-19),038,7.1,068,0.6,238,6.31,-27,22.3,Sail,,,,,,,,,,,,,,50 21.138n,003 16.633w
28-Mar-21 23:00,,,220,16.4,,(-23),038,7.1,214,0.1,240,7.34,-27,22.4,Sail,,,,,,,,,,,,,,50 17.739n,003 24.938w
29-Mar-21 00:00,,,218,17.2,,(-13),038,7.1,218,1.4,234,7.94,-27,23.2,Sail,,,,,,,,,,,,,,50 14.024n,003 34.826w
29-Mar-21 01:00,,,222,17.0,,(-23),038,7.1,263,2.0,250,8.29,-27,23.1,Sail,,,,,,,,,,,,,,50 9.260n,003 44.717w
